S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,                                        77,,ICFC,,,                                        472.00,,                                        12.00,,                                        2.61,,                                        469.20,,                                        475.00,,                                        460.10,,"                                        18,531.00",,                                        460.00,
,                                        78,,IGI,,,                                        512.00,,                                        2.50,,                                        0.49,,                                        519.60,,                                        523.90,,                                        509.10,,"                                        21,983.00",,                                        509.50,
,                                        79,,IHL,,,                                        209.10,,                                        -0.90,,                                        -0.43,,                                        206.10,,                                        216.20,,                                        206.10,,"                                        2,211.00",,                                        210.00,
,                                        80,,ILBS,,,                                        640.30,,                                        11.30,,                                        1.80,,                                        616.50,,                                        640.30,,                                        606.10,,                                        762.00,,                                        629.00,
,                                        81,,ILI,,,                                        583.10,,                                        6.20,,                                        1.07,,                                        575.00,,                                        590.00,,                                        571.00,,"                                        133,203.00",,                                        576.90,
,                                        82,,JALPA,,,"                                        1,304.00",,                                        -4.00,,                                        -0.31,,"                                        1,304.00",,"                                        1,317.00",,"                                        1,300.00",,                                        788.00,,"                                        1,308.00",
,                                        83,,JBBL,,,                                        315.00,,                                        0.00,,                                        0.00,,                                        312.00,,                                        321.80,,                                        312.00,,"                                        60,801.00",,                                        315.00,
,                                        84,,JBBLPO,,,                                        155.00,,                                        0.00,,                                        0.00,,                                        155.00,,                                        155.00,,                                        155.00,,"                                        3,731.00",,                                        155.00,
,                                        85,,JBLB,,,"                                        1,435.00",,                                        -26.00,,                                        -1.78,,"                                        1,431.80",,"                                        1,451.90",,"                                        1,405.00",,"                                        4,545.00",,"                                        1,461.00",
,                                        86,,JFL,,,                                        360.00,,                                        3.00,,                                        0.84,,                                        363.00,,                                        370.20,,                                        359.00,,"                                        6,309.00",,                                        357.00,
,                                        87,,JOSHI,,,                                        219.90,,                                        -0.10,,                                        -0.05,,                                        216.00,,                                        228.80,,                                        216.00,,"                                        9,495.00",,                                        220.00,
,                                        88,,JSLBB,,,                                        963.00,,                                        9.00,,                                        0.94,,                                        971.90,,                                        971.90,,                                        949.00,,                                        351.00,,                                        954.00,
,                                        89,,KBL,,,                                        162.00,,                                        1.60,,                                        1.00,,                                        161.00,,                                        162.50,,                                        159.30,,"                                        86,747.00",,                                        160.40,
,                                        90,,KDBY,,,                                        8.53,,                                        -0.27,,                                        -3.07,,                                        8.63,,                                        8.63,,                                        8.47,,"                                        3,400.00",,                                        8.80,
,                                        91,,KDL,,,                                        927.00,,                                        12.00,,                                        1.31,,                                        933.00,,                                        942.90,,                                        920.00,,"                                        5,948.00",,                                        915.00,
,                                        92,,KEF,,,                                        9.02,,                                        -0.12,,                                        -1.31,,                                        9.02,,                                        9.19,,                                        9.01,,"                                        13,400.00",,                                        9.14,
,                                        93,,KKHC,,,                                        174.70,,                                        -0.30,,                                        -0.17,,                                        178.00,,                                        178.00,,                                        171.50,,"                                        2,323.00",,                                        175.00,
,                                        94,,KLBSL,,,                                        806.90,,                                        13.90,,                                        1.75,,                                        780.00,,                                        806.90,,                                        774.00,,"                                        1,044.00",,                                        793.00,
,                                        95,,KMCDB,,,                                        660.00,,                                        20.00,,                                        3.13,,                                        650.00,,                                        661.00,,                                        637.20,,"                                        1,984.00",,                                        640.00,
,                                        96,,KPCL,,,                                        349.00,,                                        6.30,,                                        1.84,,                                        340.00,,                                        349.00,,                                        337.60,,"                                        1,306.00",,                                        342.70,
,                                        97,,KRBL,,,                                        278.10,,                                        -0.90,,                                        -0.32,,                                        284.00,,                                        284.00,,                                        278.10,,"                                        4,938.00",,                                        279.00,
,                                        98,,KSBBL,,,                                        315.00,,                                        1.00,,                                        0.32,,                                        320.00,,                                        320.00,,                                        315.00,,"                                        30,887.00",,                                        314.00,
,                                        99,,LBBL,,,                                        400.40,,                                        3.40,,                                        0.86,,                                        404.90,,                                        410.00,,                                        400.00,,"                                        29,969.00",,                                        397.00,
,                                        100,,LEC,,,                                        249.00,,                                        22.10,,                                        9.74,,                                        222.40,,                                        249.00,,                                        222.40,,"                                        9,851.00",,                                        226.90,
,                                        101,,LEMF,,,                                        8.35,,                                        -0.67,,                                        -7.43,,                                        8.84,,                                        8.84,,                                        8.35,,"                                        43,078.00",,                                        9.02,
,                                        102,,LICN,,,"                                        1,475.00",,                                        16.30,,                                        1.12,,"                                        1,451.00",,"                                        1,487.60",,"                                        1,451.00",,"                                        1,302.00",,"                                        1,458.70",
,                                        103,,LLBS,,,                                        675.00,,                                        -25.00,,                                        -3.57,,                                        714.00,,                                        714.00,,                                        665.00,,"                                        2,685.00",,                                        700.00,
,                                        104,,LUK,,,                                        8.16,,                                        -0.14,,                                        -1.69,,                                        8.37,,                                        8.37,,                                        7.98,,"                                        10,502.00",,                                        8.37,
,                                        105,,MAKAR,,,                                        242.00,,                                        -8.10,,                                        -3.24,,                                        245.10,,                                        270.60,,                                        239.90,,"                                        7,278.00",,                                        250.10,
,                                        106,,MBJC,,,                                        279.00,,                                        2.00,,                                        0.72,,                                        272.20,,                                        281.80,,                                        272.20,,"                                        10,157.00",,                                        277.00,
,                                        107,,MBL,,,                                        276.00,,                                        4.00,,                                        1.47,,                                        272.10,,                                        278.70,,                                        272.10,,"                                        92,245.00",,                                        272.00,
,                                        108,,MCHL,,,                                        195.00,,                                        -9.00,,                                        -4.41,,                                        200.00,,                                        204.10,,                                        194.00,,"                                        6,473.00",,                                        204.00,
,                                        109,,MDB,,,                                        400.80,,                                        10.80,,                                        2.77,,                                        397.80,,                                        405.00,,                                        392.00,,"                                        8,546.00",,                                        390.00,
,                                        110,,MEL,,,                                        180.00,,                                        0.80,,                                        0.45,,                                        182.00,,                                        184.90,,                                        179.00,,"                                        22,438.00",,                                        179.20,
,                                        111,,MEN,,,                                        943.00,,                                        -10.60,,                                        -1.11,,                                        954.00,,                                        970.30,,                                        942.00,,"                                        1,415.00",,                                        953.60,
,                                        112,,MERO,,,                                        561.50,,                                        -4.50,,                                        -0.80,,                                        566.00,,                                        571.00,,                                        560.00,,"                                        2,809.00",,                                        566.00,
